Date, SB,#, Scenario Description, Pre- Condition,Expected Results, Test Step ,Test data, User Role / Profile, Tester,Result,Comments,Remarks,Screenshots
Dashboard - Home page (UPDATED),,,,,,,,,,,,,
,,TC-001,To verify if the dashboard page loads successfully upon login.,"1. Open the ""https://app.nostro.co/sign-in"" URL.
","The dashboard page should load successfully, displaying all widgets and data.","1. Open the ""https://app.nostro.co/sign-in"" URL.
2. Observe the Homepage loads successfully.",,,Shivam,,,,
,,TC-002,"To verify ""Webpage error 404"" occurs.","1. Open the ""https://app.nostro.co/sign-in"" URL.
","Window should show an ""Webpage error"" message to user when the link is invali or incorrect.","1. Open the ""https://app.nostro.co/sign-in"" URL.
2. Enter the invalid link or extra characters in th valid link.",,,Shivam,,,,
,,TC-003,"To verify error message page ""Go back"" button.","1. Open the ""https://app.nostro.co/sign-in"" URL.
","Clicking on the """"Go back"" button it should go to the sign in, which is previous page.","1. Open the ""https://app.nostro.co/sign-in "" URL.
2. Enter the invalid link or extra characters in th valid link.
3. Click on the ""Go back"" button.",,,Shivam,,,,
,,TC-004,To verify server error page.,"1. Open the ""https://app.nostro.co/sign-in"" URL.
","When the server connection is failed to connect/offline, it should display the ""Server is Offline"" page with kind message for user.","1. Open the ""https://app.nostro.co/sign-in "" URL.
2. Verify the server is offline page is displayed.",,,Shivam,,,,
,,TC-005,"To verify server error page ""Go back"" button.","1. Open the ""https://app.nostro.co/sign-in"" URL.
","Clicking on the """"Go back"" button it should go to the sign in, which is previous page.","1. Open the ""https://app.nostro.co/sign-in "" URL.
2. Enter extra characters in the url.
3. Click on the ""Go back"" button.",,,Shivam,,,,
,,TC-006,To verify Website under maintenance page.,"1. Open the ""https://app.nostro.co/sign-in"" URL.
","When the site is under maintanance, it should the ""We're under maintenance, come back soon"" message on the page for the user.","1. Open the ""https://app.nostro.co/sign-in "" URL.
2. Verify the Website under maintenace page appears.",,,Shivam,,,,
,,TC-007,"To verify ""Welcome Page"" popup.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Welcome page popup should be diplayed in the Homepage for ongoing offer including discounts.,"1. Open the Homepage.
2. Observe the popup is displayed.",,,Shivam,,,,
,,TC-008,"To verify Popup iframe ""Close"" icon button is functional.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Close"" icon button, it should close popup iframe.","1. Open the Homepage.
2. Click on ""Close"" icon button.",,,Shivam,,,,
,,TC-009,"To verify ""Click here to Claim your discount"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Click here to Claim your discount"" button, the mentioned % of the discount should be claimed in the user account.","1. Open the Homepage.
2. Click on the ""Click here to Claim your discount"" button.",,,Shivam,,,,
,,TC-010,To verify the visibility of all action buttons on the dashboard.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","All buttons should be visible, clickable, and display the correct labels.","1. Open the dashboard.
2. Inspect all buttons.",,,Shivam,,,,
,,TC-011,To verify if all widgets on the dashboard display correct data.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",All widgets should display accurate and updated data.,"1. Open the Homepage.
2. Verify data in each widget.",,,Shivam,,,,
,,TC-012,To verify the search functionality on the dashboard page.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Relevant search results should appear.,"1. Enter a keyword in the search bar.
2. Click the search icon or press Enter.",,,Shivam,,,,
,,TC-013,To verify dashboard page performance with multiple users.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",The dashboard should function smoothly without crashes or slowdowns.,"1. Open the Homepage.
2. Simulate multiple concurrent users accessing the homepage.
3. Observe the performance.",,,Shivam,,,,
,,TC-014,To verify the URL is secure (HTTPS).,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","The dashboard should use HTTPS, ensuring secure communication.","1. Open the Homepage.
2. Check the protocol.",,,Shivam,,,,
,,TC-015,To verify data protection against SQL injection.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",The system should not execute unauthorized commands and should display a proper error message.,"1. Enter malicious input in the search field.
2. Observe the behavior.",,,Shivam,,,,
,,TC-016,To verify the data updates in real-time.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Updated data should reflect on the dashboard in real-time or after a refresh.,"1. Make changes to the data via an external process.
2. Refresh the homepage.",,,Shivam,,,,
,,TC-017,"To verify ""Start A Challenge"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Start A Challenge"" button, it should navigate to ""New Challenge"" page.","1. Open the Homepage.
2. Click on the ""Start A Challenge"" button.",,,Shivam,,,,
,,TC-018,"To verify ""October Competition"" iframe 'LEARN MORE' hyperlink.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""LEARN MORE"" hyperlink, it should navigate to ""Competition"" page to display more information. ","1. Open the Homepage.
2. Click on the ""LEARN MORE"" hyperlink.",,,Shivam,,,,
,,TC-019,"To verify Join Nostro Premium ""Get Premium"" button is functional.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Get Premium"" button, it should premium package purchase page.","1. Open the Homepage.
2. Click on the ""Get Premium"" button.",,,Shivam,,,,
,,TC-020,"To verify the accuracy of data displayed in ""User Activity"" widget.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Data on the dashboard should be matched with the database records.,"1. Open the Homepage.
2. Compare data displayed on the ""User Activity"" with the database.",,,Shivam,,,,
Dashboard - Home (Trial Account - UPDATED),,,,,,,,,,,,,
,,TC-021,To verify Profile section.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",User DP and name should be correct and trial should displayed in the tab.,"1. Open the Dashboard
2. Verify the user account details",,,Shivam,,,,
,,TC-022,To verify the Days count toggle.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Days toggle bar should be automatically increase a single day count as the 24 hours time period is completed,"1. Open the Dashboard
2. Observe the days count.",,,Shivam,,,,
,,TC-023,To verify the Giveaway iframe.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the iframe, it should open the Giveaway page with correct account challenges to giveaway.","1. Open the Homepage.
2. Click on the ""Giveaway"" iframe.",,,Shivam,,,,
,,TC-024,To verify New MT5 Update iframe.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the iframe, it should open the New MT5 Update page with updating instructions.","1. Open the Homepage.
2. Click on the ""New MT5 Update"" iframe.",,,Shivam,,,,
,,TC-025,To verify Balance Amount Display.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Account balance should be fetched and displayed accurately.,"1. Open the Dashboard page.
2. Verify the Balance amount. ",,,Shivam,,,,
,,TC-026,To verify Last Payout Amount Display.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Last payout amount should be fetched and displayed accurately.,"1. Open the Dashboard page.
2. Verify the last payout amount.",,,Shivam,,,,
